NR_CERTIFICADO;DT_PROTOCOLO
1144039613111;2025-03-28
1144039633109;2025-03-31
1144039673114;2025-04-29
1144039803108;2025-03-31
1144039833114;2025-04-10
1144039843108;2025-03-28
1144039903114;2025-03-28
1144040083109;2025-04-01
1144040283108;2025-03-31
1144040313109;2025-03-31
1144040633108;2025-03-28
1144040673108;2025-03-28
1144040693117;2025-03-28
1144040743114;2025-03-28
1144040873114;2025-04-17
1144040993109;2025-03-29
1144040993117;2025-03-29
1144041263114;2025-03-30
1144041333114;2025-04-25
1144041433108;2025-04-15
1144041433117;2025-04-15
1144041593117;2025-03-31
1144041593112;2025-03-31
1144041633109;2025-03-31
1144041643117;2025-03-31
1144041653112;2025-03-31
1144041753114;2025-04-29
1144041833117;2025-03-31
1144041983108;2025-03-31
1144042083117;2025-04-02
1144042213109;2025-03-31
1144042383108;2025-03-31
1144042433114;2025-04-01
1144042703117;2025-03-31
1144042793109;2025-03-31
1144042863117;2025-03-31
1144042903117;2025-04-07
1144043133108;2025-03-31
1144043383117;2025-04-01
1144043423109;2025-06-18
1144043453109;2025-03-31
1144043553112;2025-03-31
1144043653111;2025-03-31
1144043753108;2025-03-31
1144043783114;2025-03-31
1144043793108;2025-03-31
1144043933114;2025-03-31
1144044023108;2025-03-31
1144044093112;2025-03-31
1144044113108;2025-03-31
1144044143117;2025-03-31
1144044213117;2025-04-08
1144044223108;2025-03-31
1144044273108;2025-03-31
1144044403114;2025-03-31
1144044413109;2025-03-31
1144044443114;2025-03-31
1144044483117;2025-04-10
1144044503114;2025-03-31
1144044623112;2025-03-31
1144044723108;2025-03-31
1144044763109;2025-03-31
1144044803108;2025-03-31
1144044813117;2025-04-24
1144044913117;2025-03-31
1144045113108;2025-03-31
1144045133117;2025-05-27
1144045163114;2025-03-31
1144045213114;2025-04-02
1144045213117;2025-04-02
1144045223117;2025-03-31
1144045323108;2025-03-31
1144045363117;2025-03-31
1144045463108;2025-03-31
1144045543117;2025-03-31
1144045573108;2025-03-31
1144045613117;2025-04-02
1144045643114;2025-03-31
1144045663114;2025-03-31
1144045683114;2025-03-31
1144045733108;2025-03-31
1144045763117;2025-04-03
1144045863117;2025-04-01
1144045903108;2025-04-01
1144045953114;2025-04-01
1144046013109;2025-04-01
1144046053114;2025-04-11
1144046103114;2025-04-07
1144046263114;2025-04-01
1144046283117;2025-04-15
1144046303117;2025-04-03
1144046443117;2025-04-01
1144046463114;2025-04-11
1144046473117;2025-04-29
1144046493117;2025-04-02
1144046533117;2025-04-01
1144046533111;2025-04-01
1144140353117;2025-04-07
1144140523111;2025-04-01
1144140593114;2025-04-01
1144140603112;2025-04-02
1144140953111;2025-04-03
1144140993117;2025-04-01
1144141153114;2025-07-31
1144141223117;2025-04-01
1144141413114;2025-04-01
1144141493117;2025-05-26
1144141603109;2025-04-02
1144141653117;2025-04-01
1144141663114;2025-04-01
1144141823109;2025-04-01
1144141913117;2025-04-03
1144141973109;2025-04-01
1144141983117;2025-06-02
1144142003117;2025-04-07
1144142103117;2025-04-02
1144142153108;2025-04-07
1144142303117;2025-04-09
1144142303108;2025-04-09
1144142433117;2025-04-01
1144142453117;2025-04-01
1144142483117;2025-04-01
1144142583115;2025-04-23
1144142583117;2025-04-23
1144143333111;2025-04-02
1144143373117;2025-04-02
1144143383109;2025-04-02
1144143483117;2025-04-02
1144143493109;2025-06-06
1144143783117;2025-04-02
1144143853108;2025-04-08
1144143893117;2025-04-02
1144144303117;2025-04-02
1144144313108;2025-04-09
1144144363117;2025-04-07
1144144383117;2025-04-02
1144144633112;2025-04-05
1144144893111;2025-04-03
1144144993109;2025-04-02
1144145043117;2025-04-03
1144145073109;2025-04-02
1144145153117;2025-04-03
1144145173114;2025-04-02
1144145253109;2025-04-02
1144145333114;2025-09-10
1144145413117;2025-04-02
1144145463114;2025-06-10
1144145473117;2025-06-27
1144145493114;2025-04-02
1144145813111;2025-04-03
1144145863117;2025-04-02
1144145873117;2025-04-08
1144145973117;2025-07-10
1144146003117;2025-04-08
1144146063117;2025-04-08
1144146103114;2025-04-17
1144146113117;2025-04-04
1144146143117;2025-04-08
1144146223114;2025-06-06
1144146763117;2025-04-03
1144146783115;2025-04-29
1144146803109;2025-04-03
1144147093117;2025-04-10
